剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
1989一念间,2016,郭春晖,刘蕊瑄 / 陈汉璿 / 杜欣怡 / 戴嘉宏 / 黄雅勤 / 林婉琪 / 罗茜妮 / 李松霖 / 林雅淳 / 张雅郡 / 柯尊仁 / 蓝梦荷,张立昂 / 邵雨薇 / 蔡黄汝,剧情 / 爱情,台湾,21,90,8.2,612
希望之鸽,1990,鞠觉亮 / 林添一,夏美华,曾华倩 / 李志奇 / 孙兴 / 涂善妮 / 陈玉玫 / 彭光荣 / 赵学煌 / 关毅 / 李静美 / 孟元 / 刘长鸣 / 陈彦儒 / 糖糖,爱情,台湾,40,,8.2,322
吐司男之吻,2001,纽承泽,齐锡麟 / 李旭敏,李康宜 / 李威 / 蔡裴琳 / 庞庸之 / 张天霖 / 张毓晨 / 陈跃虎 / 黄嘉千 / 纽承泽,剧情 / 爱情,台湾,18,,8.2,2262
求婚事务所,2004,钮承泽,曾莉婷 / 林怡芬 / 黄心郁,唐治平 / 钱韦杉 / 吴建豪 / 田馥甄 / 徐熙媛 / 蓝正龙 / 伍佰 / 徐熙娣 / 李威 / 叶童 / 李康宜 / 李绍祥,爱情,台湾,35,60,8.2,4595
神机妙算刘伯温,2006,丁仰国 / 程国权 / 李海兴 / 鞠觉亮 / 郑少峰 / 李孟霖 / 张孝正 / 黄祖权,陈文贵 / 玄火 / 方泓仁 / 孙昆林 / 蔡文杰 / 刘肖箐 / 李信邦,简沛恩 / 霍正奇 / 陈亚兰 / 黄少祺 / 王宇婕 / 杨怀民 / 陈文山,剧情 / 奇幻 / 武侠 / 古装,台湾,,73,8.2,172
爱丝希雅的梦中梦,2005,林子平,,陈绮贞 / 张洋洋 / 仇政 / 尹昭德  / 赖雅妍 / 唐治平 / 郎祖筠,,台湾,4,26,8.1,1275
含笑食堂,2013,叶天伦,叶丹青 / 林佳慧 / 杨靓姝 / 颜一帆 / 杨靓姝,龙劭华 / 吕雪凤 / 苗可丽 / 吴朋奉 / 琇琴 / 李易 / 杨可凡 / 陈诗颖 / 曾子益 / 蔡君茹 / 王镜冠 / 范时轩 / 张永智 / 严艺文,家庭,台湾,25,,8.1,42
超级拍档,2006,,,谢祖武 / 王怡仁 / 余秉谚 / 蔡君茹 / 马世莉,,台湾,40,,8.1,109
亲爱的，我爱上别人了,2013,王传宗,谢定瑜 / 陈凯筑 / 吴向恩,天心 / 李铭顺 / 邱凯伟 / 林逸欣 / 席曼宁 / 朱德刚 / 张允曦 / 陆明君 / 樊光耀 / 陈慕义 / 孟庭丽 / 林孟瑾 / 林可彤 / 梅贤治 / 黄瑜娴 / 曹景俊 / 纪睿腾 / 陈翊睿  / 郑嘉盛 / 颜家卫  / 刘天介 / 金美满 / 徐灏翔 / 高宇蓁 / 吴佳珊 / 陈泓宇 / 姚坤君 / 张永正 / 谢语恩 / 简廷芮,剧情,台湾,15,90,8.1,372
老王同学会,2009,沈怡 / 丁仰国,王伟忠,屈中恒 / 黄品源 / 庹宗康 / 那维勋 / 张凤书 / 戈伟如 / 陈汉典 / 黄安琪,,台湾,26,40,8.1,404
