剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
桃花运,2015,刘新,李芳,林永健 / 于明加 / 张凯丽 / 丹尼斯·吴 / 代乐乐 / 杨昆 / 王汀,剧情 / 喜剧,中国大陆,38,,6.4,349
二叔,2013,习辛,聂欣,于晓光 / 史可 / 宋运成 / 李芯逸,剧情 / 家庭,中国大陆,38,45,6.4,356
爸爸快长大,2015,刘恺,于飞,李晨 / 童瑶 / 秦丽 / 荆浩 / 冯瓅 / 李依玲 / 唐嫣 / 张潇恒 / 孙坚 / 肖聪,剧情 / 家庭,中国大陆,30,,6.4,349
决战南京,2010,沈悦 / 沈严,邵钧林 / 孙丽华 / 张燕燕,陈宝国 / 韩雪 / 郭广平 / 高明 / 潘虹 / 侯勇 / 姚小龙,,中国大陆,35,,6.4,229
巾帼大将军,2013,田有良,李顺慈 / 刘益 / 田戈兵 / 赵杨 / 金子,江若琳 / 陈思诚 / 袁弘 / 潘虹 / 刘梓妍 / 施京明 / 马浴柯 / 胡影怡,剧情 / 爱情 / 古装,中国大陆,40,45,6.4,304
秘密列车,2008,刘进,傅琦然 / 汪奕升,周杰 / 刘芸 / 王雅捷 / 于洋 / 张嘉译 / 马少骅 / 郑罗茜,剧情,中国大陆,24,40,6.4,248
中国散伙人,2016,谢亮 / 李维瑄,李孟元 / 王自新 / 杨天桓 / 罗珍妮,袁布 / 周子龙 / 王城祖 / 李小爱 / 张可 / 刘芷含,喜剧,中国大陆,10,20,6.4,885
雾柳镇,2008,黄健中,白志强,张国强 / 李钰 / 陶泽如 / 周显欣,,中国大陆,33,,6.4,237
熊出没之夏日连连看,熊出没之夏日连连看,丁亮,,张伟 / 张秉君 / 谭笑,儿童,中国大陆,52,13,6.4,175
蓝色马蹄莲,2001,王文杰,陈心豪,何政军 / 何赛飞 / 常戎,爱情 / 悬疑 / 犯罪,中国大陆,20,45,6.4,144
春暖花开,2011,戚健,朱艳 / 周劲翔,李小冉 / 潘虹 / 李明启 / 倪虹洁 / 赵龙豪 / 王晴 / 赵峥 / 戚九洲,剧情,中国大陆,40,40,6.4,569
暗徒,2017,蔺水净,李家俊 / 肖莹莹 / 宋庆楠,万沛鑫 / 万潼 / 周家宇 / 郑沛琳 / 张铎瀚,剧情 / 悬疑 / 犯罪,中国大陆,10,30,6.4,648
我为儿孙当北漂,2015,林妍,温蓉,殷桃 / 涂松岩 / 韩童生 / 杜宁林 / 辛雨锡 / 李晓峰 / 何昊阳 / 陈卫 / 艾丽娅 / 张诗雅 / 周岩 / 安琥 / 方慧 / 冯嘉怡 / 张春年 / 褚栓忠 / 邹少官 / 王迅 / 蒋雯丽 / 谭松韵 / 周铁 / 陆妍淇,剧情 / 家庭,中国大陆,36,,6.4,142
爱的方式,2009,那彤,万方,丁勇岱 / 王姬 / 徐雅祺,,中国大陆,25,,6.4,40
周恩来在重庆,2008,董亚春,王朝柱,刘劲 / 马晓伟 / 唐国强,历史,中国大陆,30,45,6.4,41
血未冷,2007,夏晓昀 / 贺子壮,吴丽萍,陈松伶 / 张铎,剧情,中国大陆 / 香港,20,,6.4,42
清网行动,2014,张志,陈春山,李诚儒 / 韩青 / 毛俊杰 / 王昌娥 / 孟召重 / 李宜儒,剧情 / 犯罪,中国大陆,30,,6.4,140
盾神,2014,雷献禾,张鹏,冯远征 / 陶昕然 / 王俊彭 / 秦海璐 / 姚安濂 / 钱波 / 张志宏 / 王欢 / 周毅 / 朱冠阳 / 王鸿飞,剧情 / 悬疑,中国大陆,33,,6.4,60
